avgHR,calories,duration,steps,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
155.0,337,36.88,4704.0,4.36,9.47,380.01,p14,51.52,2020-02-20,45,181,male,190,72,No,5.1,95.0
141.0,667,92.82,10472.0,9.99,9.41,382.61,p14,46.69,2020-01-11,45,181,male,190,72,No,7.75,92.0
146.0,316,37.77,4748.0,4.49,9.61,374.52,p14,56.3,2020-01-15,45,181,male,190,72,No,7.9,92.0
166.0,276,35.55,3967.0,3.8,10.01,359.47,p14,46.21,2020-01-10,45,181,male,190,72,No,9.38,88.0
149.0,315,38.95,4723.0,4.41,9.54,377.25,p14,42.15,2020-01-16,45,181,male,190,72,No,6.02,92.0
145.0,649,109.08,10089.0,9.11,9.19,391.67,p14,47.29,2020-01-18,45,181,male,190,72,No,8.7,90.0
142.0,311,42.9,4892.0,5.29,11.29,318.92,p14,49.23,2020-01-19,45,181,male,190,72,No,12.1,93.0
139.0,395,60.88,6129.0,5.29,8.48,424.4,p14,44.26,2019-12-27,45,181,male,190,72,No,6.9,91.0
161.0,279,33.57,4095.0,4.42,11.28,319.06,p14,49.89,2020-01-05,45,181,male,190,72,No,7.0,93.0
154.0,270,38.1,4082.0,4.08,10.35,347.89,p14,46.39,2020-01-08,45,181,male,190,72,Yes,9.4,87.0
119.0,1345,134.28,11870.0,13.11,5.8,620.98,p15,50.53,2019-12-22,54,180,male,160,80,No,7.2,97.0
88.0,1059,233.57,10855.0,7.46,2.19,1646.44,p15,46.21,2020-02-04,54,180,male,160,80,No,7.7,96.0
112.0,1466,155.4,12130.0,13.17,5.05,713.27,p15,53.6,2020-02-06,54,180,male,160,80,No,6.18,95.0
111.0,1454,169.4,11482.0,11.67,4.09,881.05,p15,54.62,2020-02-07,54,180,male,160,80,No,6.28,98.0
113.0,303,32.73,2842.0,2.92,5.26,684.95,p15,46.97,2020-02-08,54,180,male,160,80,No,7.4,96.0
91.0,970,141.42,12220.0,7.62,3.96,908.7,p15,44.07,2020-02-09,54,180,male,160,80,No,8.38,94.0
113.0,1219,135.88,14943.0,9.93,4.95,727.77,p15,38.78,2020-02-15,54,180,male,160,80,No,7.6,95.0
